POU2F2	EIF4A1	0.676
POU2F2	CREB3	-0.343
POU2F2	PPP6R1	-0.506
POU2F2	UQCC3	0.618
POU2F2	ACBD4	-0.318
POU2F2	ZBTB4	1.272
POU2F2	RMI2	-0.492
POU2F2	DDX47	-0.343
POU2F2	CBX8	0.618
POU2F2	TRIM22	-0.506
POU2F2	RPL18	-0.318
POU2F2	MYO1G	-0.343
POU2F2	IRF4	0.610
POU2F2	PPAN	-0.230
POU2F2	IFFO2	-0.492
POU2F2	IQCC	-0.318
POU2F2	HIST1H3I	0.618
POU2F2	HIST1H2BC	0.676
POU2F2	DDIT4	-0.196
POU2F2	ZNFX1	-0.196
POU2F2	CYS1	-0.506
POU2F2	SCO2	-0.434
POU2F2	AC008537.1	-0.196
POU2F2	YPEL3	-0.492
POU2F2	GPR183	-0.093
POU2F2	LENG9	-0.599
POU2F2	TMSB4X	0.292
POU2F2	MPEG1	-0.196
POU2F2	CYB561A3	0.146
POU2F2	MED22	-0.318
POU2F2	RPL7A	-0.318
POU2F2	SPHK2	0.146
POU2F2	CLDND1	-0.260
POU2F2	HIST4H4	-0.701
POU2F2	SOCS1	-0.196
POU2F2	DENND2D	-0.196
POU2F2	EMID1	-0.093
POU2F2	DUSP22	0.764
POU2F2	HSP90AB1	0.146
POU2F2	ELL	1.272
POU2F2	GPR31	-0.196
POU2F2	MPDU1	-0.263
POU2F2	AC142391.1	-0.318
POU2F2	RPS2	-0.492
POU2F2	TAF12	-0.506
POU2F2	PRR7	-0.426
POU2F2	PSMB9	-1.011
POU2F2	MRPL49	-0.506
POU2F2	PER1	-0.318
POU2F2	CD74	1.455
POU2F2	ZMYND8	-0.492
POU2F2	PSMB8	-0.835
POU2F2	HIST1H1D	-0.360
POU2F2	INTS6L	-0.492
POU2F2	LY6G5B	0.618
POU2F2	RNF151	-0.343
POU2F2	CD2BP2	0.146
POU2F2	DPM3	-0.492
POU2F2	PPP3R1	-0.492
POU2F2	MAPKAPK2	-0.492
POU2F2	MTG1	-0.196
POU2F2	RFTN1	1.305
POU2F2	CXXC4	-0.196
POU2F2	PFN1	0.650
POU2F2	HIST1H4I	0.654
POU2F2	P2RY11	0.012
POU2F2	PYM1	0.146
POU2F2	ERCC1	0.204
POU2F2	BHLHE40	-0.701
POU2F2	SIN3A	-0.093
POU2F2	PMAIP1	-0.343
POU2F2	SETD1B	-0.506
POU2F2	SLC35B2	0.032
POU2F2	ATF4	0.220
POU2F2	TUT1	-0.998
POU2F2	H2AFJ	0.311
POU2F2	TMEM259	-0.138
POU2F2	TMC6	0.146
POU2F2	MATN1	-0.506
POU2F2	ODF3B	-0.196
POU2F2	LIMD2	-0.196
POU2F2	HLA-DPA1	-0.196
POU2F2	TUBB	-0.093
