ENCFF002PPW	bam	bam		alignments	ENCSR987MTA	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										BHLHE40-human	DNA						2017-01-31	ENCODE				4			100				ENCFF216ZWY, ENCFF438VPJ, ENCFF643CGH	2381016182	ENCODE Processing Pipeline	228971b7f0dcf333e82d3050197ccd1f		https://www.encodeproject.org/files/ENCFF002PPW/@@download/ENCFF002PPW.bam	GRCh38				released	s3://encode-public/2017/01/28/4b3eb47a-1604-4ece-9b31-35228f0b1d70/ENCFF002PPW.bam				
ENCFF273MCK	bigWig	bigWig		fold change over control	ENCSR987MTA	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										BHLHE40-human	DNA						2017-01-31	ENCODE				4							ENCFF002PPW, ENCFF666ATR	800389487	ENCODE Processing Pipeline	4f865a92bf442b38a556b97444ce0484		https://www.encodeproject.org/files/ENCFF273MCK/@@download/ENCFF273MCK.bigWig	GRCh38				released	s3://encode-public/2017/01/31/11c29445-218d-4b01-b9af-fc933a0fdee1/ENCFF273MCK.bigWig				
ENCFF538RYD	bigWig	bigWig		signal p-value	ENCSR987MTA	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										BHLHE40-human	DNA						2017-01-31	ENCODE				4, 5							ENCFF002PPW, ENCFF322NTO, ENCFF451KMO, ENCFF666ATR	1521586237	ENCODE Processing Pipeline	a6bc794ca15107e15001c7ac62b04b5d		https://www.encodeproject.org/files/ENCFF538RYD/@@download/ENCFF538RYD.bigWig	GRCh38				released	s3://encode-public/2017/01/31/4049009e-44e0-4c34-b567-df10d43299a9/ENCFF538RYD.bigWig				
ENCFF106LWW	bigWig	bigWig		signal p-value	ENCSR987MTA	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										BHLHE40-human	DNA						2017-01-31	ENCODE				4							ENCFF002PPW, ENCFF666ATR	866787884	ENCODE Processing Pipeline	e4619c09b4fd9cccade92a6c5abc1fe9		https://www.encodeproject.org/files/ENCFF106LWW/@@download/ENCFF106LWW.bigWig	GRCh38				released	s3://encode-public/2017/01/31/0d76585a-ea8b-420b-b564-245af96ed5f4/ENCFF106LWW.bigWig				
ENCFF402ZMX	bigWig	bigWig		fold change over control	ENCSR987MTA	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										BHLHE40-human	DNA						2017-01-31	ENCODE				4, 5							ENCFF002PPW, ENCFF322NTO, ENCFF451KMO, ENCFF666ATR	1830736446	ENCODE Processing Pipeline	8009b8a4b8f56d302e9d03e61cc4c5e9		https://www.encodeproject.org/files/ENCFF402ZMX/@@download/ENCFF402ZMX.bigWig	GRCh38				released	s3://encode-public/2017/01/31/9a8f48c2-1263-4b8d-be45-9a26c2df9391/ENCFF402ZMX.bigWig				
ENCFF634YZT	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	ENCSR987MTA	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										BHLHE40-human	DNA						2017-01-31	ENCODE				4							ENCFF002PPW, ENCFF666ATR	6504678	ENCODE Processing Pipeline	18d0df32eefb02231c2d59899caec56a		https://www.encodeproject.org/files/ENCFF634YZT/@@download/ENCFF634YZT.bed.gz	GRCh38				released	s3://encode-public/2017/01/31/9825fedb-ab42-4440-8d66-69810be629e7/ENCFF634YZT.bed.gz				
ENCFF466FUD	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	ENCSR987MTA	ChIP-seq	EFO:0002784	GM12878	cell line	Homo sapiens										BHLHE40-human	DNA						2017-01-31	ENCODE				4, 5							ENCFF002PPW, ENCFF322NTO, ENCFF451KMO, ENCFF666ATR	7141253	ENCODE Processing Pipeline	73c49d48f4fab8652a85b60a499ea3ee		https://www.encodeproject.org/files/ENCFF466FUD/@@download/ENCFF466FUD.bed.gz	GRCh38				released	s3://encode-public/2017/01/31/63116b35-7ffa-410f-a0bd-9498b0ae33a2/ENCFF466FUD.bed.gz				
ENCFF004JMG	bam	bam		alignments	ENCSR584GHV	ChIP-seq	EFO:0001086	A549	cell line	Homo sapiens										NFE2L2-human	DNA						2014-07-07	ENCODE				1			36				ENCFF002EAK, ENCFF643CGH	810579234	ENCODE Processing Pipeline	8faf9ef5cb6dfb45f07d5087955b5367		https://www.encodeproject.org/files/ENCFF004JMG/@@download/ENCFF004JMG.bam	GRCh38				released	s3://encode-public/2016/10/09/d293fd19-a2a7-4479-902d-e6254211c5fb/ENCFF004JMG.bam				
ENCFF792FSG	bigWig	bigWig		signal p-value	ENCSR584GHV	ChIP-seq	EFO:0001086	A549	cell line	Homo sapiens										NFE2L2-human	DNA						2014-07-07	ENCODE				1							ENCFF004JMG, ENCFF918AJW	561273846	ENCODE Processing Pipeline	e2d1f1f6ea0a2f80111d5296039ae448		https://www.encodeproject.org/files/ENCFF792FSG/@@download/ENCFF792FSG.bigWig	GRCh38				released	s3://encode-public/2016/10/24/94571a55-f977-40e2-833d-76a21f8d5b85/ENCFF792FSG.bigWig				
ENCFF475LPL	bigWig	bigWig		signal p-value	ENCSR584GHV	ChIP-seq	EFO:0001086	A549	cell line	Homo sapiens										NFE2L2-human	DNA						2014-07-07	ENCODE				1, 2							ENCFF003TGD, ENCFF004JMG, ENCFF918AJW, ENCFF949XNJ	960339491	ENCODE Processing Pipeline	b67c9879c7692688f3dc3862e6872ad4		https://www.encodeproject.org/files/ENCFF475LPL/@@download/ENCFF475LPL.bigWig	GRCh38				released	s3://encode-public/2016/10/24/a6e6e46e-cb8c-4d93-ab1e-64bc4a1912eb/ENCFF475LPL.bigWig				
ENCFF308XVW	bigWig	bigWig		fold change over control	ENCSR584GHV	ChIP-seq	EFO:0001086	A549	cell line	Homo sapiens										NFE2L2-human	DNA						2014-07-07	ENCODE				1							ENCFF004JMG, ENCFF918AJW	480747563	ENCODE Processing Pipeline	3bf9fe215827b5a214aba6efd226d9fc		https://www.encodeproject.org/files/ENCFF308XVW/@@download/ENCFF308XVW.bigWig	GRCh38				released	s3://encode-public/2016/10/24/5681a06c-a1c3-46e8-8efa-a611d9943003/ENCFF308XVW.bigWig				
ENCFF668LIG	bigWig	bigWig		fold change over control	ENCSR584GHV	ChIP-seq	EFO:0001086	A549	cell line	Homo sapiens										NFE2L2-human	DNA						2014-07-07	ENCODE				1, 2							ENCFF003TGD, ENCFF004JMG, ENCFF918AJW, ENCFF949XNJ	1040033565	ENCODE Processing Pipeline	eb8c53b75c51a81af59e78f43cfd196c		https://www.encodeproject.org/files/ENCFF668LIG/@@download/ENCFF668LIG.bigWig	GRCh38				released	s3://encode-public/2016/10/24/03648cd4-2ef7-46e2-9163-a1c98912321e/ENCFF668LIG.bigWig				
ENCFF427FBA	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	ENCSR584GHV	ChIP-seq	EFO:0001086	A549	cell line	Homo sapiens										NFE2L2-human	DNA						2014-07-07	ENCODE				1							ENCFF004JMG, ENCFF918AJW	4630417	ENCODE Processing Pipeline	9e0bb0f8b707a5482925438176c5cc09		https://www.encodeproject.org/files/ENCFF427FBA/@@download/ENCFF427FBA.bed.gz	GRCh38				released	s3://encode-public/2016/10/24/207c802f-8ca7-48f5-835a-24955d109de7/ENCFF427FBA.bed.gz				
ENCFF407SGC	bed narrowPeak	bed	narrowPeak	peaks and background as input for IDR	ENCSR584GHV	ChIP-seq	EFO:0001086	A549	cell line	Homo sapiens										NFE2L2-human	DNA						2014-07-07	ENCODE				1, 2							ENCFF003TGD, ENCFF004JMG, ENCFF918AJW, ENCFF949XNJ	5747103	ENCODE Processing Pipeline	2ab2ba583f2f88c6cbfc23e4fddf5108		https://www.encodeproject.org/files/ENCFF407SGC/@@download/ENCFF407SGC.bed.gz	GRCh38				released	s3://encode-public/2016/10/24/be3de4ea-cead-47fb-8303-641fe64f2529/ENCFF407SGC.bed.gz				
