File accession	File format	Output type	Experiment accession	Assay	Biosample organism	Experiment target	Size	Assembly
ENCFF908SPX	bam	alignments	ENCSR445ACU	ChIP-seq	Homo sapiens	SOX13-human	1106836211	GRCh38
ENCFF582CJF	bam	alignments	ENCSR000BGM	ChIP-seq	Homo sapiens	USF1-human	637033775	GRCh38
ENCFF803MUP	bam	alignments	ENCSR634OAQ	ChIP-seq	Homo sapiens	CTCF-human	4302449535	GRCh38
ENCFF654KYF	bam	alignments	ENCSR000DQD	ChIP-seq	Homo sapiens	CTCF-human	819184321	GRCh38
ENCFF472PUP	bam	alignments	ENCSR000DKN	ChIP-seq	Homo sapiens	CTCF-human	879838417	GRCh38
ENCFF449ZQR	bam	alignments	ENCSR094ZCF	ChIP-seq	Homo sapiens	CEBPG-human	1268211309	GRCh38
ENCFF434JDR	bam	alignments	ENCSR000BHW	ChIP-seq	Homo sapiens	CTCF-human	209578101	GRCh38
ENCFF226EFM	bam	alignments	ENCSR679STZ	ChIP-seq	Homo sapiens	ZNF792-human	5276153939	GRCh38
ENCFF856JMS	bam	alignments	ENCSR125ZYC	ChIP-seq	Homo sapiens	KLF9-human	830961091	GRCh38
ENCFF696RXB	bam	alignments	ENCSR231YFE	ChIP-seq	Homo sapiens	ZBTB33-human	4290671027	GRCh38
ENCFF726UVN	bam	alignments	ENCSR000EGZ	ChIP-seq	Homo sapiens	MXI1-human	638436900	GRCh38
ENCFF590IYB	bam	alignments	ENCSR101FJM	ChIP-seq	Homo sapiens	ZNF274-human	632880194	GRCh38
ENCFF687AXX	bam	alignments	ENCSR791AGT	ChIP-seq	Homo sapiens	ZNF24-human	11966998215	GRCh38
ENCFF209BDU	bam	alignments	ENCSR000ALA	ChIP-seq	Homo sapiens	CTCF-human	451689962	GRCh38
ENCFF942JER	bam	alignments	ENCSR000BLB	ChIP-seq	Homo sapiens	NR3C1-human	591404416	GRCh38
ENCFF409PPI	bam	alignments	ENCSR899BKM	ChIP-seq	Homo sapiens	ZNF687-human	5210233528	GRCh38
ENCFF261BXO	bam	alignments	ENCSR286PCG	ChIP-seq	Homo sapiens	ZBED1-human	1305095200	GRCh38
ENCFF425QOU	bam	alignments	ENCSR254YRM	ChIP-seq	Homo sapiens	CTCF-human	935070210	GRCh38
ENCFF121PXE	bam	alignments	ENCSR546KCN	ChIP-seq	Homo sapiens	FOSL2-human	905373961	GRCh38
ENCFF053PTC	bam	alignments	ENCSR000AUV	ChIP-seq	Homo sapiens	CTCF-human	62068883	GRCh38
ENCFF372XYO	bam	alignments	ENCSR553QMC	ChIP-seq	Homo sapiens	ZNF7-human	1642464166	GRCh38
ENCFF754GYS	bam	alignments	ENCSR004GKA	ChIP-seq	Homo sapiens	ZEB2-human	4515247950	GRCh38
ENCFF099HWJ	bam	alignments	ENCSR000EHV	ChIP-seq	Homo sapiens	EP300-human	931166035	GRCh38
ENCFF910XWG	bam	alignments	ENCSR737UST	ChIP-seq	Homo sapiens	ZNF740-human	934006226	GRCh38
