File accession	File format	Output type	Experiment accession	Assay	Biosample organism	Experiment target	Size	Assembly
ENCFF908SPX	bam	alignments	ENCSR445ACU	ChIP-seq	Homo sapiens	SOX13-human	1106836211	GRCh38
ENCFF010EFV	bam	alignments	ENCSR445ACU	ChIP-seq	Homo sapiens	SOX13-human	1021640457	GRCh38
ENCFF582CJF	bam	alignments	ENCSR000BGM	ChIP-seq	Homo sapiens	USF1-human	637033775	GRCh38
ENCFF270TGL	bam	alignments	ENCSR000BGM	ChIP-seq	Homo sapiens	USF1-human	999909157	GRCh38
ENCFF803MUP	bam	alignments	ENCSR634OAQ	ChIP-seq	Homo sapiens	CTCF-human	4302449535	GRCh38
ENCFF053VXH	bam	alignments	ENCSR634OAQ	ChIP-seq	Homo sapiens	CTCF-human	1374200489	GRCh38
ENCFF654KYF	bam	alignments	ENCSR000DQD	ChIP-seq	Homo sapiens	CTCF-human	819184321	GRCh38
ENCFF824XFI	bam	alignments	ENCSR000DQD	ChIP-seq	Homo sapiens	CTCF-human	775025412	GRCh38
ENCFF472PUP	bam	alignments	ENCSR000DKN	ChIP-seq	Homo sapiens	CTCF-human	879838417	GRCh38
ENCFF526MVX	bam	alignments	ENCSR000DKN	ChIP-seq	Homo sapiens	CTCF-human	928524859	GRCh38
ENCFF449ZQR	bam	alignments	ENCSR094ZCF	ChIP-seq	Homo sapiens	CEBPG-human	1268211309	GRCh38
ENCFF651NEA	bam	alignments	ENCSR094ZCF	ChIP-seq	Homo sapiens	CEBPG-human	1386357580	GRCh38
ENCFF434JDR	bam	alignments	ENCSR000BHW	ChIP-seq	Homo sapiens	CTCF-human	209578101	GRCh38
ENCFF827ZZD	bam	alignments	ENCSR000BHW	ChIP-seq	Homo sapiens	CTCF-human	647423753	GRCh38
ENCFF226EFM	bam	alignments	ENCSR679STZ	ChIP-seq	Homo sapiens	ZNF792-human	5276153939	GRCh38
ENCFF742IEI	bam	alignments	ENCSR679STZ	ChIP-seq	Homo sapiens	ZNF792-human	5982758532	GRCh38
ENCFF856JMS	bam	alignments	ENCSR125ZYC	ChIP-seq	Homo sapiens	KLF9-human	830961091	GRCh38
ENCFF692CNT	bam	alignments	ENCSR125ZYC	ChIP-seq	Homo sapiens	KLF9-human	1243752155	GRCh38
ENCFF696RXB	bam	alignments	ENCSR231YFE	ChIP-seq	Homo sapiens	ZBTB33-human	4290671027	GRCh38
ENCFF455ZKM	bam	alignments	ENCSR231YFE	ChIP-seq	Homo sapiens	ZBTB33-human	6820674517	GRCh38
ENCFF726UVN	bam	alignments	ENCSR000EGZ	ChIP-seq	Homo sapiens	MXI1-human	638436900	GRCh38
ENCFF388QNA	bam	alignments	ENCSR000EGZ	ChIP-seq	Homo sapiens	MXI1-human	719748956	GRCh38
ENCFF590IYB	bam	alignments	ENCSR101FJM	ChIP-seq	Homo sapiens	ZNF274-human	632880194	GRCh38
ENCFF097NLT	bam	alignments	ENCSR101FJM	ChIP-seq	Homo sapiens	ZNF274-human	1304229071	GRCh38
ENCFF687AXX	bam	alignments	ENCSR791AGT	ChIP-seq	Homo sapiens	ZNF24-human	11966998215	GRCh38
ENCFF988SHG	bam	alignments	ENCSR791AGT	ChIP-seq	Homo sapiens	ZNF24-human	4729883344	GRCh38
ENCFF209BDU	bam	alignments	ENCSR000ALA	ChIP-seq	Homo sapiens	CTCF-human	451689962	GRCh38
ENCFF942JER	bam	alignments	ENCSR000BLB	ChIP-seq	Homo sapiens	NR3C1-human	591404416	GRCh38
ENCFF428QRM	bam	alignments	ENCSR000BLB	ChIP-seq	Homo sapiens	NR3C1-human	555873426	GRCh38
ENCFF409PPI	bam	alignments	ENCSR899BKM	ChIP-seq	Homo sapiens	ZNF687-human	5210233528	GRCh38
ENCFF503QVH	bam	alignments	ENCSR899BKM	ChIP-seq	Homo sapiens	ZNF687-human	4826616388	GRCh38
ENCFF261BXO	bam	alignments	ENCSR286PCG	ChIP-seq	Homo sapiens	ZBED1-human	1305095200	GRCh38
ENCFF035GBL	bam	alignments	ENCSR286PCG	ChIP-seq	Homo sapiens	ZBED1-human	1267455228	GRCh38
ENCFF425QOU	bam	alignments	ENCSR254YRM	ChIP-seq	Homo sapiens	CTCF-human	935070210	GRCh38
ENCFF528IMZ	bam	alignments	ENCSR254YRM	ChIP-seq	Homo sapiens	CTCF-human	594022152	GRCh38
ENCFF121PXE	bam	alignments	ENCSR546KCN	ChIP-seq	Homo sapiens	FOSL2-human	905373961	GRCh38
