FIBP	18.044227	7.959571	0.000000	0.000000
ARL2	16.820140	7.331455	0.000000	0.000000
SMIM12	16.779103	7.310397	0.000000	0.000000
ARL2-SNX15	16.596162	7.216525	0.000000	0.000000
HOXA5	15.985174	6.903008	0.000000	0.000000
PTMA	15.621792	6.716546	0.000000	0.000000
ZNHIT2	15.618836	6.715029	0.000000	0.000000
AQP6	15.049834	6.423057	0.000000	0.000001
C2CD2L	15.039430	6.417718	0.000000	0.000001
AL355987.3	14.336688	6.057120	0.000000	0.000009
TMEM141	13.923806	5.845258	0.000000	0.000023
PLEKHG2	13.915060	5.840770	0.000000	0.000023
ACBD4	13.899788	5.832934	0.000000	0.000023
ERCC1	13.896235	5.831110	0.000000	0.000023
GPSM3	13.534918	5.645707	0.000000	0.000064
BCL6	13.412076	5.582674	0.000000	0.000085
FAM136A	13.293904	5.522036	0.000000	0.000112
DCXR	13.191182	5.469326	0.000000	0.000141
PLK2	13.151095	5.448756	0.000000	0.000150
LRRC23	13.029765	5.386498	0.000000	0.000192
PLCD3	13.024722	5.383911	0.000000	0.000192
C1QTNF6	12.901204	5.320530	0.000000	0.000258
RSAD1	12.866767	5.302859	0.000000	0.000271
ABCA2	12.739321	5.237463	0.000000	0.000366
CAMTA2	12.716159	5.225578	0.000000	0.000374
ZWILCH	12.666184	5.199934	0.000001	0.000411
GABPB2	12.580897	5.156171	0.000001	0.000496
PDK2	12.537124	5.133709	0.000001	0.000521
MFSD3	12.535394	5.132821	0.000001	0.000521
ZFP36L1	12.484554	5.106734	0.000001	0.000576
TBX6	12.303640	5.013901	0.000001	0.000887
PIGO	12.293222	5.008556	0.000001	0.000887
SRP9	12.179510	4.950207	0.000002	0.001150
CES3	12.031156	4.874082	0.000003	0.001622
CDC37L1	11.937889	4.826223	0.000003	0.001988
C18orf25	11.920756	4.817432	0.000004	0.002016
UBE3D	11.790121	4.750399	0.000005	0.002704
AJUBA	11.773188	4.741711	0.000005	0.002743
KRTCAP2	11.742297	4.725859	0.000006	0.002881
LRIG2	11.691766	4.699930	0.000006	0.003174
STOML2	11.668225	4.687851	0.000007	0.003278
HOXA6	11.655267	4.681202	0.000007	0.003301
HOXA7	11.526573	4.615165	0.000009	0.004382
CDC42SE1	11.508437	4.605859	0.000010	0.004439
GSTA4	11.501905	4.602507	0.000010	0.004439
HDDC3	11.451704	4.576747	0.000011	0.004800
ZNF219	11.450281	4.576017	0.000011	0.004800
SNAPC5	11.439468	4.570469	0.000012	0.004820
SOCS1	11.293762	4.495702	0.000016	0.006627
NEMF	11.250238	4.473369	0.000018	0.007179
GLI1	11.220681	4.458202	0.000019	0.007531
NCEH1	11.174963	4.434743	0.000021	0.008125
TRIP10	11.170528	4.432467	0.000022	0.008125
YARS2	11.127599	4.410439	0.000024	0.008791
PCBD2	11.063037	4.377311	0.000028	0.009831
ANKRD39	11.061856	4.376705	0.000028	0.009831
MAML2	11.033986	4.362404	0.000029	0.010226
SH3GLB1	11.028599	4.359639	0.000030	0.010226
TINF2	10.996287	4.343059	0.000032	0.010805
LGI4	10.981334	4.335386	0.000033	0.010827
IDE	10.977187	4.333258	0.000033	0.010827
CATSPERZ	10.973116	4.331169	0.000034	0.010827
BAZ2A	10.907801	4.297654	0.000039	0.012242
RBM15	10.903265	4.295327	0.000039	0.012242
ICK	10.864982	4.275683	0.000043	0.013112
MAP3K5	10.764829	4.224291	0.000053	0.016066
PRKAB2	10.706800	4.194514	0.000060	0.017663
MDGA1	10.695730	4.188834	0.000062	0.017663
MYLIP	10.694247	4.188073	0.000062	0.017663
GPR108	10.689822	4.185802	0.000063	0.017663
THBS1	10.687030	4.184370	0.000063	0.017663
TOMM6	10.653174	4.166998	0.000068	0.018729
B3GALNT2	10.613896	4.146842	0.000074	0.020086
REV1	10.589053	4.134095	0.000078	0.020889
CHD1L	10.544226	4.111093	0.000085	0.022601
NBPF1	10.537424	4.107603	0.000087	0.022601
VPS18	10.532983	4.105324	0.000087	0.022601
ORC2	10.517037	4.097141	0.000090	0.023073
TIMM44	10.498663	4.087713	0.000094	0.023677
COMTD1	10.478855	4.077549	0.000098	0.024372
C7orf55-LUC7L2	10.469980	4.072995	0.000100	0.024522
BCL9L	10.461599	4.068694	0.000101	0.024650
YDJC	10.439465	4.057337	0.000106	0.025503
ANKRD23	10.432190	4.053604	0.000108	0.025584
MIF	10.423845	4.049322	0.000110	0.025726
CREB3L2	10.413580	4.044054	0.000112	0.025974
PAGR1	10.396431	4.035255	0.000116	0.026605
SLC2A11	10.387330	4.030585	0.000118	0.026803
FCHSD2	10.371985	4.022711	0.000122	0.027355
COPS6	10.293247	3.982308	0.000144	0.031715
GNAI2	10.289144	3.980202	0.000145	0.031715
ADRM1	10.255004	3.962684	0.000155	0.033434
AKR1D1	10.241984	3.956003	0.000159	0.033434
NAE1	10.235611	3.952733	0.000162	0.033434
ADCY4	10.233241	3.951517	0.000162	0.033434
TNFRSF14	10.232203	3.950985	0.000163	0.033434
AL365205.1	10.229220	3.949454	0.000164	0.033434
TEDC1	10.226760	3.948191	0.000164	0.033434
PSMD1	10.211133	3.940173	0.000170	0.034160
SERTAD1	10.180228	3.924315	0.000181	0.035994
DHRS13	10.157925	3.912870	0.000189	0.036736
TMEM179B	10.157092	3.912443	0.000189	0.036736
FBRS	10.155373	3.911561	0.000190	0.036736
TYSND1	10.138005	3.902649	0.000197	0.037672
PLCB3	10.128773	3.897911	0.000200	0.037851
FOXD2	10.126122	3.896551	0.000201	0.037851
KHK	10.086666	3.876305	0.000218	0.040567
H2AFX	10.054375	3.859735	0.000232	0.042851
FMO5	10.049354	3.857159	0.000235	0.042882
HIST1H2AB	10.031530	3.848013	0.000243	0.043697
IGF2	10.022123	3.843186	0.000248	0.043697
AXIN2	10.021733	3.842986	0.000248	0.043697
REX1BD	10.021580	3.842908	0.000248	0.043697
LUC7L2	9.982342	3.822773	0.000268	0.046789
ALOXE3	9.967073	3.814938	0.000276	0.047657
